ProjectName;Violation Type;Occurrence;Category
biojava-biojava;SE_NO_SERIALVERSIONID;5195;Bad practice
biojava-biojava;RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE;6112;Dodgy code
biojava-biojava;BC_UNCONFIRMED_CAST;3017;Dodgy code
biojava-biojava;DLS_DEAD_LOCAL_STORE;10137;Dodgy code
biojava-biojava;EI_EXPOSE_REP;9535;Malicious code vulnerability
biojava-biojava;SIC_INNER_SHOULD_BE_STATIC_ANON;3623;Performance
biojava-biojava;EI_EXPOSE_REP2;8118;Malicious code vulnerability
biojava-biojava;SE_BAD_FIELD;5506;Bad practice
biojava-biojava;NM_METHOD_NAMING_CONVENTION;738;Bad practice
biojava-biojava;DM_DEFAULT_ENCODING;18171;Internationalization
biojava-biojava;REC_CATCH_EXCEPTION;13031;Dodgy code
biojava-biojava;UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR;4861;Dodgy code
biojava-biojava;PZLA_PREFER_ZERO_LENGTH_ARRAYS;1858;Dodgy code
biojava-biojava;BC_UNCONFIRMED_CAST_OF_RETURN_VALUE;1503;Dodgy code
biojava-biojava;RI_REDUNDANT_INTERFACES;2762;Dodgy code
biojava-biojava;DM_CONVERT_CASE;10380;Internationalization
biojava-biojava;ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD;844;Dodgy code
biojava-biojava;SF_SWITCH_NO_DEFAULT;1337;Dodgy code
biojava-biojava;MS_SHOULD_BE_FINAL;7750;Malicious code vulnerability
biojava-biojava;NP_LOAD_OF_KNOWN_NULL_VALUE;1204;Dodgy code
biojava-biojava;URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD;1483;Dodgy code
biojava-biojava;URF_UNREAD_FIELD;3013;Performance
biojava-biojava;LI_LAZY_INIT_STATIC;1109;Multithreaded correctness
biojava-biojava;NM_CLASS_NAMING_CONVENTION;812;Bad practice
biojava-biojava;MS_PKGPROTECT;2267;Malicious code vulnerability
biojava-biojava;DM_NUMBER_CTOR;5410;Performance
biojava-biojava;UPM_UNCALLED_PRIVATE_METHOD;2287;Performance
biojava-biojava;FE_FLOATING_POINT_EQUALITY;2518;Dodgy code
biojava-biojava;IS2_INCONSISTENT_SYNC;2403;Multithreaded correctness
biojava-biojava;SE_TRANSIENT_FIELD_NOT_RESTORED;342;Bad practice
